1.91,80.38,-0.69,0.71,0.99,383002,"
"
1.89,82.51,-0.69,0.71,0.99,383078,"
"
1.84,82.71,-0.7,0.69,0.97,383153,"
"
1.85,80.7,-0.63,0.78,1.01,383229,"
"
1.91,78.33,-0.6,0.79,0.99,383305,"
"
1.92,77.16,-0.62,0.78,0.99,383380,"
"
1.86,84.18,-0.64,0.75,0.98,383455,"
"
1.88,80.04,-0.65,0.75,0.98,383531,"
"
1.87,83.42,-0.69,0.72,0.99,383606,"
"
1.87,80.21,-0.72,0.68,0.99,383681,"
"
1.92,82.74,-0.71,0.69,0.99,383757,"
"
1.87,86.78,-0.77,0.64,1,383832,"
"
1.89,88.07,-0.78,0.62,0.99,383908,"
"
1.94,81.9,-0.75,0.65,0.99,383984,"
"
1.96,67.04,-0.67,0.74,0.99,384060,"
"
1.91,61.21,-0.74,0.67,0.99,384136,"
"
1.81,74.74,-0.84,0.53,0.98,384430,"
"
1.82,68.79,-0.84,0.52,0.97,384505,"
"
1.83,70.72,-0.84,0.52,0.98,384581,"
"
1.79,80.24,-0.81,0.57,0.99,384657,"
"
1.78,83.08,-0.82,0.56,0.99,384878,"
"
2.89,125.43,-0.74,0.71,1.05,385026,"
"
2.29,119.64,-0.75,0.7,1.06,385102,"
"
2.44,118.32,-0.78,0.64,1.01,385177,"
"
2.09,114.81,-0.81,0.59,1.01,385253,"
"
1.81,108.75,-0.82,0.58,1.02,385329,"
"
1.8,101.63,-0.83,0.56,1.01,385405,"
"
1.75,82.96,-0.82,0.55,0.98,385480,"
"
1.75,73.56,-0.79,0.63,1.03,385556,"
"
1.82,71.18,-0.78,0.64,1.02,385632,"
"
1.85,71.73,-0.77,0.64,1,385708,"
"
1.76,71.07,-0.79,0.62,1.01,385783,"
"
1.81,72.91,-0.8,0.61,1.01,385859,"
"
1.87,72.34,-0.8,0.6,1,385934,"
"
1.82,76.4,-0.78,0.61,0.99,386010,"
"
1.79,68.17,-0.81,0.58,0.99,386086,"
"
1.75,64.49,-0.83,0.55,1,386162,"
"
1.74,66.04,-0.91,0.49,1.07,386382,"
"
1.77,67,-0.88,0.54,1.06,386458,"
"
1.89,69.73,-0.85,0.58,1.05,386533,"
"
2.05,71.15,-0.8,0.6,1,386609,"
"
2.24,77,-0.78,0.61,0.98,386684,"
"
2.43,78.76,-0.78,0.61,0.98,386760,"
"
3.05,77.97,-0.8,0.59,0.99,386835,"
"
3.86,77.66,-0.8,0.6,1,386910,"
"
3.95,78.08,-0.78,0.64,1.03,386985,"
"
3.95,79.08,-0.78,0.64,1.03,387060,"
"
3.83,79.32,-0.78,0.65,1.03,387134,"
"
3.79,78.01,-0.78,0.66,1.04,387209,"
"
3.73,76.46,-0.77,0.66,1.04,387283,"
"
3.67,76.08,-0.77,0.67,1.05,387358,"
"
3.64,76.43,-0.78,0.68,1.08,387432,"
"
3.58,76.21,-0.77,0.69,1.07,387507,"
"
3.63,75.21,-0.77,0.69,1.08,387581,"
"
3.72,73.86,-0.8,0.7,1.13,387656,"
"
3.58,74.4,-0.79,0.71,1.12,387731,"
"
3.64,74.4,-0.79,0.71,1.13,387805,"
"
3.73,73.26,-0.8,0.7,1.14,387880,"
"
3.84,74.11,-0.81,0.69,1.13,388006,"
"
3.84,73.59,-0.79,0.68,1.09,388081,"
"
3.78,75.1,-0.79,0.7,1.11,388156,"
"
3.8,75.94,-0.8,0.71,1.14,388231,"
"
3.77,75.46,-0.8,0.71,1.14,388306,"
"
3.78,75.13,-0.79,0.71,1.14,388380,"
"
3.76,76,-0.79,0.71,1.12,388456,"
"
