43,47,52,36,48,38,54,7.19,-0.26,0,0,"1.60
"
40,47,54,39,48,38,54,7.21,-0.26,0,0,"1.60
"
40,47,54,39,45,38,53,7.28,-0.26,0,0,"1.60
"
44,47,49,39,45,35,53,7.19,-0.26,0,0,"1.60
"
44,47,49,35,45,35,52,7.13,-0.26,0,0,"1.60
"
44,47,49,35,47,40,52,7.22,-0.26,0,0,"1.60
"
41,43,50,37,47,40,52,7.29,-0.26,0,0,"1.60
"
41,43,50,37,47,40,51,7.37,-0.26,0,0,"1.60
"
42,43,52,37,47,34,51,7.28,-0.26,0,0,"1.60
"
42,44,52,40,47,34,53,7.16,-0.26,0,0,"1.60
"
42,44,52,40,47,37,53,7.19,-0.26,0,0,"1.60
"
42,45,53,36,47,37,53,7.13,-0.26,0,0,"1.60
"
42,45,53,36,45,37,56,7.19,-0.26,0,0,"1.60
"
41,45,53,36,45,37,56,7.24,-0.26,0,0,"1.60
"
41,44,53,39,45,37,49,7.29,-0.26,0,0,"1.60
"
41,44,53,39,45,37,49,7.25,-0.26,0,0,"1.60
"
40,44,54,40,45,37,49,7.25,-0.26,0,0,"1.60
"
40,43,54,40,49,37,53,7.23,-0.26,0,0,"1.60
"
41,43,51,40,49,36,53,7.25,-0.26,0,0,"1.60
"
41,44,51,38,49,36,51,7.22,-0.26,0,0,"1.60
"
41,44,51,38,48,39,51,7.22,-0.26,0,0,"1.60
"
41,44,52,37,48,39,51,7.26,-0.26,0,0,"1.60
"
41,44,52,37,45,39,53,7.24,-0.26,0,0,"1.60
"
41,44,53,37,45,38,53,7.27,-0.26,0,0,"1.60
"
41,44,53,36,45,38,54,7.24,-0.26,0,0,"1.60
"
41,44,53,36,49,37,54,7.20,-0.26,0,0,"1.60
"
40,44,53,35,49,37,54,7.22,-0.26,0,0,"1.60
"
40,42,53,35,44,37,50,7.18,-0.26,0,0,"1.60
"
40,42,50,35,44,36,50,7.15,-0.26,0,0,"1.60
"
39,47,50,39,44,36,48,7.16,-0.26,0,0,"1.60
"
39,47,50,39,49,38,48,7.20,-0.26,0,0,"1.60
"
40,47,53,40,49,38,48,7.27,-0.26,0,0,"1.60
"
40,40,53,40,49,38,51,7.23,-0.26,0,0,"1.60
"
40,40,51,40,49,37,51,7.22,-0.26,0,0,"1.60
"
41,43,51,41,49,37,49,7.21,-0.26,0,0,"1.60
"
41,43,51,41,48,37,49,7.19,-0.26,0,0,"1.60
"
40,43,51,35,48,37,49,7.18,-0.26,0,0,"1.60
"
40,41,51,35,48,37,50,7.16,-0.26,0,0,"1.60
"
40,41,51,35,48,33,50,7.18,-0.26,0,0,"1.60
"
39,43,52,39,48,33,50,7.19,-0.26,0,0,"1.60
"
39,43,52,39,47,33,52,7.15,-0.26,0,0,"1.60
"
41,43,52,35,47,35,52,7.20,-0.26,0,0,"1.60
"
41,41,52,35,48,35,52,7.22,-0.26,0,0,"1.60
"
41,41,52,35,48,38,52,7.25,-0.26,0,0,"1.60
"
42,43,51,34,48,38,52,7.24,-0.26,0,0,"1.60
"
42,43,51,34,50,38,50,7.21,-0.26,0,0,"1.60
"
40,43,47,37,50,37,50,7.17,-0.26,0,0,"1.60
"
40,40,47,37,50,37,52,7.29,-0.26,0,0,"1.60
"
40,40,47,37,43,35,52,7.19,-0.26,0,0,"1.60
"
41,43,53,35,43,35,52,7.18,-0.26,0,0,"1.60
"
41,43,53,35,47,35,51,7.25,-0.26,0,0,"1.60
"
42,43,51,36,47,35,51,7.20,-0.26,0,0,"1.60
"
42,39,51,36,47,35,53,7.15,-0.26,0,0,"1.60
"
42,39,51,36,46,40,53,7.22,-0.26,0,0,"1.60
"
40,39,48,35,46,40,53,7.21,-0.26,0,0,"1.60
"
40,42,48,35,44,40,53,7.27,-0.26,0,0,"1.60
"
41,42,53,38,44,35,53,7.30,-0.26,0,0,"1.60
"
41,42,53,38,44,35,53,7.32,-0.26,0,0,"1.60
"
41,42,53,38,48,38,53,7.32,-0.26,0,0,"1.60
"
40,42,51,36,48,38,53,7.32,-0.26,0,0,"1.60
"
40,46,51,36,47,38,51,7.29,-0.26,0,0,"1.60
"
41,46,51,37,47,33,51,7.23,-0.26,0,0,"1.60
"
41,46,51,37,47,33,51,7.18,-0.26,0,0,"1.60
"
41,46,51,37,49,40,51,7.26,-0.26,0,0,"1.60
"
45,46,51,35,49,40,51,7.29,-0.26,0,0,"1.60
"
45,47,51,35,49,40,54,7.24,-0.26,0,0,"1.60
"
45,47,56,35,49,37,54,7.28,-0.26,0,0,"1.60
"
42,43,56,37,49,37,54,7.26,-0.26,0,0,"1.60
"
42,43,56,37,47,38,54,7.23,-0.26,0,0,"1.60
"
43,43,50,36,47,38,54,7.33,-0.26,0,0,"1.60
"
43,42,50,36,48,38,48,7.26,-0.26,0,0,"1.60
"
43,42,56,36,48,34,48,7.29,-0.26,0,0,"1.60
"
42,42,56,37,48,34,53,7.27,-0.26,0,0,"1.60
"
42,42,56,37,45,39,53,7.26,-0.26,0,0,"1.60
"
43,42,54,36,45,39,53,7.23,-0.26,0,0,"1.60
"
43,42,54,36,46,39,54,7.22,-0.26,0,0,"1.60
"
43,42,56,36,46,36,54,7.29,-0.26,0,0,"1.60
"
43,42,56,37,46,36,54,7.26,-0.26,0,0,"1.60
"
